content,tag_category,content_tag,content_tag_extra,tag_sql
tethys_pubs,,Attraction,61,
tethys_pubs,,Avoidance,35,
tethys_pubs,,Bats,6,
tethys_pubs,,Birds,148,
tethys_pubs,,Cetaceans,1,
tethys_pubs,,Changes in Flow,319,
tethys_pubs,,Chemicals,21,
tethys_pubs,,Collision,260,
tethys_pubs,,Current,969,
tethys_pubs,,Displacement,8,
tethys_pubs,,Ecosystem Processes,124,
tethys_pubs,,EMF,117,
tethys_pubs,,Entrapment,30,
tethys_pubs,,Environment,3502,
tethys_pubs,,Environmental Impact Assessment,3,
tethys_pubs,,Fish,381,
tethys_pubs,,Fisheries,1,
tethys_pubs,,Habitat Change,196,
tethys_pubs,,Human Dimensions,773,
tethys_pubs,,Invertebrates,166,
tethys_pubs,,Legal & Policy,99,
tethys_pubs,,Life Cycle Assessment,8,
tethys_pubs,,Lighting,5,
tethys_pubs,,Marine Mammals,374,
tethys_pubs,,Marine Spatial Planning,74,
tethys_pubs,,Navigation,5,
tethys_pubs,,Noise,398,
tethys_pubs,,OTEC,86,
tethys_pubs,,Pelagic Fish,24,
tethys_pubs,,Physical Environment,322,
tethys_pubs,,Pinnipeds,50,
tethys_pubs,,Raptors,1,
tethys_pubs,,Recreation & Tourism,3,
tethys_pubs,,Reptiles,25,
tethys_pubs,,Salinity Gradient,19,
tethys_pubs,,Seabirds,39,
tethys_pubs,,Sediment Transport,32,
tethys_pubs,,Shorebirds,2,
tethys_pubs,,Social & Economic Data,70,
tethys_pubs,,Stakeholder Engagement,28,
tethys_pubs,,Terrestrial Mammals,1,
tethys_pubs,,Water Quality,13,
tethys_pubs,,Waterfowl,5,
tethys_pubs,,Wave,669,
